produit,quantite,prix,region
Imprimante,8,957.81,Nord
Scanner,2,715.27,Est
Ordinateur,6,375.01,Nord
Imprimante,5,107.04,Ouest
Imprimante,4,1327.14,Ouest
Clavier,7,1193.84,Sud
Imprimante,4,1204.44,Centre
Clavier,5,516.98,Centre
Ordinateur,8,568.51,Sud
Ordinateur,5,1186.29,Est
Scanner,9,1046.97,Centre
Clavier,2,991.93,Nord
Clavier,2,854.31,Est
Téléphone,9,584.13,Centre
Téléphone,2,1124.83,Sud
Scanner,3,573.32,Est
Ordinateur,6,1115.32,Centre
Téléphone,4,326.12,Nord
Imprimante,8,906.16,Sud
Ordinateur,8,568.12,Centre
Imprimante,2,1251.44,Nord
Clavier,2,802.11,Est
Ordinateur,3,954.82,Ouest
Scanner,2,170.72,Est
Clavier,5,768.1,Ouest
Clavier,1,1182.06,Est
Imprimante,7,1296.98,Nord
Clavier,8,1095.7,Sud
Téléphone,4,656.93,Ouest
Ordinateur,7,423.34,Est
Téléphone,9,614.27,Est
Imprimante,7,864.32,Est
Imprimante,2,58.41,Sud
Ordinateur,2,1372.41,Est
Clavier,6,548.39,Centre
Scanner,8,1205.37,Centre
Imprimante,3,824.99,Ouest
Ordinateur,1,1010.17,Est
Scanner,1,1151.27,Ouest
Clavier,2,467.47,Ouest
Imprimante,6,928.82,Sud
Ordinateur,2,1139.89,Ouest
Ordinateur,6,1167.84,Est
Ordinateur,1,653.2,Est
Imprimante,9,1106.35,Nord
Scanner,7,487.76,Ouest
Ordinateur,1,230.19,Sud
Clavier,9,213.74,Est
Ordinateur,9,783.27,Ouest
Scanner,6,605.73,Est
Imprimante,2,387.05,Est
Ordinateur,2,617.21,Sud
Ordinateur,8,647.17,Nord
Clavier,9,852.68,Centre
Clavier,4,133.99,Sud
Ordinateur,2,1366.63,Sud
Ordinateur,5,589.69,Est
Clavier,7,942.3,Nord
Scanner,4,494.28,Nord
Téléphone,9,1154.43,Centre
Téléphone,4,715.11,Nord
Ordinateur,8,516.6,Ouest
Clavier,3,1447.52,Centre
Imprimante,6,1304.55,Centre
Imprimante,6,311.48,Centre
Téléphone,3,1065.93,Sud
Scanner,2,1143.76,Centre
Téléphone,6,100.11,Nord
Ordinateur,7,1443.4,Ouest
Scanner,7,387.81,Nord
Imprimante,1,1367.14,Sud
Clavier,6,998.4,Centre
Clavier,9,792.56,Nord
Ordinateur,9,1189.46,Centre
Téléphone,2,1028.79,Sud
Ordinateur,4,1123.36,Ouest
Clavier,6,1293.96,Sud
Imprimante,4,733.21,Nord
Clavier,9,667.31,Sud
Scanner,2,1354.68,Nord
Clavier,6,1206.89,Est
Clavier,1,77.91,Nord
Scanner,9,998.04,Centre
Téléphone,1,1360.66,Est
Clavier,8,1041.2,Ouest
Ordinateur,9,852.49,Centre
Clavier,1,305.04,Nord
Ordinateur,1,1428.34,Est
Scanner,7,958.21,Centre
Clavier,5,196.49,Ouest
Scanner,3,1395.08,Sud
Scanner,9,799.08,Nord
Téléphone,2,277.98,Est
Clavier,6,378.47,Sud
Ordinateur,4,1453.33,Sud
Ordinateur,5,683.12,Est
Clavier,2,658.53,Est
Téléphone,1,754.94,Ouest
Téléphone,9,1065.75,Est
Téléphone,3,579.28,Est
Ordinateur,6,660.51,Sud
Scanner,9,1131.87,Nord
Téléphone,1,718.74,Sud
Ordinateur,5,1084.68,Sud
Ordinateur,4,1445.22,Sud
Scanner,3,1445.66,Sud
Clavier,2,698.16,Nord
Clavier,3,389.62,Nord
Téléphone,1,414.29,Centre
Téléphone,1,1237.87,Centre
Scanner,8,165.59,Centre
Téléphone,5,108.6,Sud
Scanner,2,1038.05,Est
Ordinateur,3,1369.66,Sud
Téléphone,2,384.66,Nord
Ordinateur,2,129.13,Est
Imprimante,4,1348.17,Sud
Scanner,4,563.53,Est
Imprimante,7,847.1,Sud
Téléphone,2,1262.56,Nord
Ordinateur,9,412.5,Est
Téléphone,7,921.77,Ouest
Imprimante,4,1487.69,Est
Téléphone,7,1124.9,Sud
Clavier,1,626.14,Ouest
Imprimante,7,1163.63,Nord
Téléphone,6,81.57,Sud
Ordinateur,9,362.24,Nord
Téléphone,8,1129.78,Nord
Ordinateur,2,430.24,Est
Clavier,3,232.86,Ouest
Téléphone,3,475.29,Centre
Clavier,6,298.44,Nord
Imprimante,2,659.94,Ouest
Ordinateur,2,230.58,Ouest
Imprimante,4,1264.67,Centre
Ordinateur,1,1180.96,Centre
Clavier,1,495.11,Sud
Scanner,1,803.89,Nord
Téléphone,5,1289.8,Centre
Clavier,9,1397.08,Centre
Ordinateur,4,182.08,Est
Ordinateur,8,1096.93,Nord
Ordinateur,7,246.42,Sud
Ordinateur,6,79.05,Ouest
Téléphone,9,164.47,Nord
Imprimante,1,885.03,Centre
Scanner,7,596.82,Nord
Téléphone,9,222.08,Est
Ordinateur,2,737.77,Centre
Téléphone,4,786.94,Ouest
Clavier,5,1191.72,Sud
Ordinateur,5,1012.31,Est
Scanner,7,725.65,Est
Ordinateur,8,520.29,Est
Scanner,9,52.91,Sud
Scanner,5,1256.46,Centre
Imprimante,2,437.13,Est
Imprimante,2,359.17,Est
Téléphone,5,1115.17,Sud
Téléphone,5,153.89,Nord
Scanner,5,430.8,Sud
Ordinateur,6,680.83,Ouest
Clavier,8,690.29,Ouest
Clavier,5,278.88,Centre
Ordinateur,3,108.18,Ouest
Ordinateur,9,732.27,Est
Imprimante,4,568.32,Sud
Clavier,8,463.03,Ouest
Scanner,9,442.41,Est
Téléphone,7,781.06,Centre
Imprimante,3,81.41,Sud
Clavier,6,203.82,Sud
Ordinateur,7,521.55,Nord
Clavier,7,745.73,Centre
Scanner,8,1056.05,Ouest
Imprimante,5,475.01,Centre
Ordinateur,5,1017.22,Ouest
Scanner,2,611.37,Est
Téléphone,2,1173.34,Sud
Imprimante,4,746.9,Centre
Scanner,7,835.02,Est
Scanner,8,680.85,Est
Ordinateur,3,242.69,Est
Téléphone,1,298.19,Centre
Scanner,4,630.72,Centre
Imprimante,6,193.29,Centre
Scanner,6,253.28,Centre
Clavier,9,954.42,Centre
Imprimante,7,968.2,Sud
Imprimante,9,234.78,Nord
Scanner,5,1288.04,Centre
Ordinateur,5,1292.25,Sud
Imprimante,5,600.61,Ouest
Clavier,5,772.04,Ouest
Ordinateur,4,1212.24,Sud
Ordinateur,6,1155.93,Sud
Ordinateur,1,575.98,Ouest
Imprimante,2,509.79,Ouest
Ordinateur,9,1013.3,Centre
Scanner,6,577.1,Nord
Ordinateur,6,1049.7,Nord
Clavier,4,237.96,Est
Téléphone,5,1024.46,Ouest
Clavier,9,1188.46,Nord
Imprimante,2,1361.68,Nord
Ordinateur,3,711.47,Centre
Ordinateur,8,862.44,Centre
Scanner,9,468.92,Sud
Ordinateur,5,268.22,Centre
Clavier,3,301.01,Ouest
Imprimante,1,1274.63,Centre
Téléphone,2,835.14,Sud
Ordinateur,4,595.65,Centre
Téléphone,4,1302.73,Ouest
Ordinateur,5,215.01,Centre
Imprimante,9,911.64,Centre
Clavier,2,1196.59,Est
Imprimante,2,231.13,Centre
Téléphone,5,224.79,Est
Ordinateur,2,98.39,Ouest
Téléphone,5,1415.84,Sud
Clavier,5,1053.66,Sud
Imprimante,7,153.59,Nord
Téléphone,4,1023.32,Est
Téléphone,2,490.24,Nord
Clavier,8,208.53,Est
Ordinateur,1,1488.72,Ouest
Téléphone,1,310.83,Centre
Clavier,7,1207.88,Est
Ordinateur,4,1328.04,Est
Ordinateur,3,818.98,Est
Imprimante,1,1465.2,Nord
Clavier,8,223.81,Sud
Ordinateur,8,1443.26,Sud
Imprimante,4,152.46,Sud
Scanner,2,742.14,Ouest
Clavier,4,1289.79,Est
Scanner,7,852.13,Sud
Ordinateur,4,896.02,Est
Clavier,3,283.43,Centre
Imprimante,1,1477.3,Sud
Ordinateur,9,385.13,Sud
Clavier,5,1295.45,Sud
Clavier,2,1437.01,Est
Scanner,6,457.13,Centre
Ordinateur,2,1109.25,Ouest
Imprimante,6,166.54,Ouest
Imprimante,9,1125.1,Est
Ordinateur,2,752.29,Nord
Ordinateur,1,221.01,Sud
Téléphone,7,1347.23,Sud
Scanner,8,1034.35,Centre
Ordinateur,2,294.46,Est
Ordinateur,4,822.57,Sud
Téléphone,8,522.51,Sud
Téléphone,4,1080.32,Est
Clavier,9,959.82,Nord
Imprimante,1,324.84,Centre
Scanner,7,401.06,Est
Clavier,3,1071.59,Sud
Ordinateur,3,1028.98,Sud
Téléphone,7,502.75,Nord
Imprimante,6,743.45,Nord
Clavier,3,727.43,Centre
Imprimante,2,230.44,Nord
Téléphone,6,950.53,Est
Clavier,7,433.43,Nord
Clavier,9,716.85,Centre
Imprimante,9,154.05,Ouest
Téléphone,9,940.36,Ouest
Ordinateur,1,1267.42,Nord
Clavier,4,875.91,Est
Ordinateur,4,915.37,Nord
Téléphone,8,1026.3,Sud
Clavier,3,334.69,Nord
Clavier,1,149.75,Centre
Ordinateur,3,1288.3,Sud
Scanner,6,1277.58,Centre
Ordinateur,7,839.73,Centre
Ordinateur,9,335.75,Sud
Scanner,5,1235.0,Centre
Téléphone,5,369.36,Nord
Téléphone,3,1298.33,Ouest
Clavier,3,664.46,Nord
Imprimante,9,133.36,Nord
Imprimante,3,1234.47,Ouest
Clavier,3,862.91,Centre
Imprimante,9,511.62,Nord
Ordinateur,4,706.75,Est
Ordinateur,6,1334.99,Ouest
Scanner,1,344.58,Centre
Scanner,2,200.49,Ouest
Clavier,3,1187.95,Centre
Clavier,2,951.44,Ouest
Clavier,3,1311.46,Sud
Ordinateur,5,504.44,Ouest
Imprimante,1,863.82,Ouest
Clavier,1,111.51,Est
Clavier,7,1277.68,Ouest
Ordinateur,9,327.22,Nord
Ordinateur,9,216.2,Centre
Ordinateur,7,752.6,Est
Imprimante,2,1130.12,Sud
Clavier,7,354.16,Est
Téléphone,9,388.53,Nord
Téléphone,7,507.61,Centre
Clavier,2,1226.08,Est
Clavier,7,1133.66,Centre
Clavier,4,441.29,Ouest
Clavier,8,419.94,Sud
Imprimante,3,1364.33,Sud
Téléphone,5,941.48,Est
Scanner,3,376.22,Est
Téléphone,7,253.56,Nord
Téléphone,3,145.92,Nord
Ordinateur,5,407.21,Sud
Clavier,1,1094.04,Centre
Clavier,4,588.9,Est
Clavier,6,1449.29,Est
Ordinateur,2,520.17,Ouest
Imprimante,6,267.79,Centre
Imprimante,7,306.06,Est
Scanner,8,758.26,Est
Imprimante,3,1409.31,Centre
Imprimante,3,1355.41,Est
Clavier,5,315.81,Centre
Téléphone,3,1144.0,Nord
Imprimante,9,1140.95,Centre
Imprimante,7,289.69,Ouest
Ordinateur,5,482.38,Sud
Scanner,5,160.26,Centre
Ordinateur,1,158.55,Ouest
Clavier,9,691.05,Ouest
Téléphone,2,751.84,Est
Scanner,7,97.48,Ouest
Ordinateur,7,1451.03,Ouest
Imprimante,2,755.15,Nord
Imprimante,8,1192.37,Sud
Scanner,8,970.65,Nord
Imprimante,9,948.0,Sud
Ordinateur,2,489.54,Nord
Ordinateur,1,1336.31,Sud
Imprimante,9,484.62,Nord
Imprimante,3,1429.69,Centre
Clavier,2,107.15,Sud
Téléphone,2,216.31,Centre
Scanner,2,1103.52,Est
Ordinateur,8,932.61,Ouest
Scanner,3,1089.74,Est
Clavier,1,980.34,Centre
Ordinateur,8,814.45,Ouest
Clavier,2,95.22,Sud
Clavier,6,1222.92,Est
Imprimante,8,789.71,Est
Scanner,9,203.43,Centre
Scanner,1,329.11,Centre
Imprimante,9,1009.9,Centre
Scanner,8,161.67,Ouest
Imprimante,6,1310.75,Ouest
Ordinateur,5,1196.57,Ouest
Clavier,6,494.16,Nord
Clavier,2,1331.09,Sud
Scanner,3,1333.51,Ouest
Téléphone,9,1264.87,Est
Clavier,3,496.1,Sud
Imprimante,7,1001.0,Est
Téléphone,4,704.56,Sud
Téléphone,9,831.38,Ouest
Clavier,4,644.05,Ouest
Clavier,6,55.78,Nord
Clavier,2,64.46,Centre
Imprimante,7,1170.63,Ouest
Téléphone,3,1422.26,Est
Scanner,1,382.93,Est
Imprimante,7,839.26,Centre
Ordinateur,5,493.76,Centre
Clavier,7,742.44,Est
Téléphone,1,221.32,Ouest
Imprimante,5,1101.84,Centre
Ordinateur,2,798.57,Ouest
Imprimante,1,497.65,Nord
Imprimante,6,1012.17,Est
Scanner,5,791.3,Est
Scanner,4,636.21,Est
Imprimante,1,823.13,Nord
Ordinateur,5,1432.83,Est
Téléphone,7,150.46,Nord
Téléphone,1,1389.77,Est
Clavier,4,233.18,Nord
Clavier,6,349.24,Nord
Téléphone,8,1469.81,Est
Imprimante,7,1224.57,Nord
Imprimante,7,559.99,Sud
Scanner,8,636.85,Nord
Scanner,7,483.72,Nord
Clavier,4,376.5,Ouest
Téléphone,6,138.27,Sud
Imprimante,2,98.82,Ouest
Téléphone,8,777.32,Centre
Ordinateur,3,818.65,Sud
Téléphone,4,1154.27,Ouest
Ordinateur,2,187.93,Centre
Scanner,9,796.33,Nord
Scanner,2,1390.47,Ouest
Clavier,6,1286.36,Sud
Téléphone,3,825.13,Est
Téléphone,6,243.77,Ouest
Ordinateur,4,276.27,Est
Scanner,8,742.14,Centre
Ordinateur,3,945.16,Sud
Scanner,8,1468.99,Nord
Ordinateur,3,1255.37,Nord
Scanner,5,650.83,Centre
Ordinateur,2,557.74,Ouest
Scanner,6,69.56,Ouest
Ordinateur,7,61.19,Est
Téléphone,8,737.94,Est
Clavier,4,150.47,Est
Ordinateur,9,276.72,Est
Clavier,2,1471.55,Nord
Téléphone,8,1090.0,Sud
Téléphone,6,705.76,Sud
Scanner,4,1293.93,Nord
Clavier,2,307.25,Est
Imprimante,4,614.51,Sud
Scanner,3,477.39,Ouest
Clavier,4,1493.42,Nord
Ordinateur,4,1356.6,Ouest
Ordinateur,7,812.82,Sud
Téléphone,1,664.86,Centre
Imprimante,9,1497.26,Ouest
Ordinateur,5,349.18,Sud
Clavier,3,641.43,Ouest
Clavier,7,1082.06,Sud
Ordinateur,7,1070.56,Nord
Clavier,8,882.65,Nord
Clavier,4,1430.24,Est
Téléphone,9,407.81,Est
Imprimante,2,874.51,Sud
Téléphone,6,1225.19,Ouest
Imprimante,3,387.07,Est
Clavier,8,1313.17,Est
Imprimante,8,976.74,Nord
Clavier,6,602.55,Nord
Clavier,4,989.15,Centre
Téléphone,8,1395.69,Nord
Téléphone,6,1482.85,Centre
Scanner,9,458.08,Est
Ordinateur,7,1368.16,Ouest
Scanner,9,105.95,Nord
Scanner,8,60.55,Est
Imprimante,4,922.34,Nord
Clavier,6,748.39,Est
Clavier,7,730.32,Centre
Clavier,4,389.4,Sud
Ordinateur,4,916.32,Sud
Imprimante,3,74.57,Centre
Imprimante,6,679.03,Sud
Clavier,2,582.06,Ouest
Scanner,4,329.93,Ouest
Ordinateur,8,790.58,Centre
Scanner,3,1050.88,Ouest
Téléphone,8,1228.8,Centre
Imprimante,7,720.26,Centre
Imprimante,7,397.84,Sud
Scanner,9,354.35,Est
Ordinateur,4,889.82,Ouest
Imprimante,8,614.42,Ouest
Scanner,2,510.46,Est
Ordinateur,3,808.31,Centre
Scanner,4,856.81,Centre
Ordinateur,9,389.05,Sud
Clavier,1,598.54,Sud
Ordinateur,7,1076.17,Est
Téléphone,2,611.73,Sud
Clavier,5,693.95,Centre
Scanner,1,978.04,Nord
Clavier,6,326.67,Est
Clavier,3,1306.85,Nord
Scanner,6,540.68,Ouest
Scanner,8,1047.1,Nord
Téléphone,8,480.95,Ouest
Scanner,4,989.81,Est
Imprimante,7,452.15,Est
Imprimante,6,1134.67,Nord
Téléphone,2,202.04,Sud
Ordinateur,6,495.86,Nord
Ordinateur,2,872.88,Centre
Imprimante,4,968.12,Centre
Scanner,5,250.35,Est
Téléphone,9,513.32,Sud
Ordinateur,3,197.59,Sud
Ordinateur,5,1259.8,Ouest
Clavier,2,1476.31,Centre
Imprimante,3,461.51,Ouest
Scanner,5,750.52,Centre
Téléphone,7,784.46,Nord
Ordinateur,6,288.45,Est
Clavier,2,1018.04,Ouest
Imprimante,9,799.33,Sud
Imprimante,8,795.09,Est
Téléphone,9,134.94,Est
Ordinateur,9,165.88,Ouest
Téléphone,5,1448.22,Ouest
Téléphone,7,1412.58,Est
Clavier,7,76.43,Sud
Imprimante,9,833.67,Est
Scanner,9,144.03,Nord
Imprimante,6,1200.06,Nord
Imprimante,3,121.42,Nord
Clavier,8,846.5,Ouest
Scanner,1,947.94,Est
Ordinateur,4,189.28,Nord
Scanner,2,911.84,Centre
Ordinateur,5,1415.43,Nord
Scanner,7,191.15,Centre
Téléphone,1,1042.77,Ouest
Scanner,4,443.32,Sud
Clavier,3,446.74,Est
Ordinateur,4,838.98,Est
Imprimante,6,1395.37,Nord
Clavier,6,384.55,Nord
Ordinateur,1,1490.33,Ouest
Ordinateur,3,182.6,Est
Imprimante,1,1413.26,Nord
Téléphone,1,75.87,Est
Clavier,1,285.16,Ouest
Imprimante,3,1465.76,Nord
Imprimante,2,435.87,Est
Téléphone,4,60.3,Ouest
Clavier,7,1333.35,Nord
Imprimante,2,1375.26,Ouest
Téléphone,2,1129.4,Centre
Clavier,7,1412.36,Sud
Scanner,9,435.22,Nord
Ordinateur,3,985.69,Centre
Téléphone,8,1126.41,Ouest
Ordinateur,6,1461.73,Nord
Scanner,6,1352.31,Centre
Imprimante,3,135.64,Nord
Imprimante,9,541.62,Est
Clavier,9,941.93,Nord
Téléphone,4,1290.31,Sud
Téléphone,6,455.51,Nord
Clavier,5,61.68,Sud
Ordinateur,4,321.09,Ouest
Imprimante,2,666.74,Nord
Imprimante,4,138.66,Centre
Téléphone,7,111.38,Est
Téléphone,3,632.35,Ouest
Clavier,3,989.42,Nord
Scanner,3,1080.23,Sud
Ordinateur,9,822.56,Ouest
Scanner,1,682.02,Ouest
Scanner,5,77.33,Ouest
Téléphone,9,430.76,Centre
Téléphone,7,1021.32,Est
Téléphone,1,701.86,Est
Scanner,4,432.98,Nord
Ordinateur,6,382.66,Ouest
Téléphone,5,75.03,Centre
Imprimante,2,1246.34,Sud
Ordinateur,1,1323.17,Est
Imprimante,4,580.22,Nord
Ordinateur,5,1066.82,Centre
Téléphone,4,144.19,Centre
Clavier,3,1338.66,Nord
Téléphone,8,1364.84,Est
Scanner,6,277.42,Est
Scanner,3,1181.88,Est
Ordinateur,6,736.21,Est
Scanner,8,1037.48,Nord
Téléphone,7,738.3,Sud
Imprimante,1,164.06,Sud
Téléphone,6,1268.06,Nord
Ordinateur,1,174.32,Est
Scanner,4,572.22,Centre
Imprimante,3,1479.64,Ouest
Clavier,7,668.69,Nord
Imprimante,2,1239.42,Ouest
Imprimante,4,294.94,Est
Téléphone,5,1253.59,Sud
Clavier,2,718.76,Nord
Ordinateur,9,789.4,Ouest
Ordinateur,2,1454.55,Centre
Imprimante,6,1334.9,Ouest
Imprimante,8,554.27,Ouest
Scanner,7,1426.64,Ouest
Clavier,6,199.53,Est
Imprimante,8,87.97,Centre
Scanner,5,822.33,Nord
Clavier,9,1166.35,Nord
Ordinateur,2,370.36,Ouest
Scanner,6,166.43,Ouest
Clavier,7,1275.99,Est
Scanner,9,1480.16,Est
Imprimante,5,1056.76,Ouest
Téléphone,6,1464.13,Sud
Ordinateur,9,1257.38,Centre
Imprimante,6,415.19,Ouest
Imprimante,1,209.18,Est
Clavier,4,1222.94,Nord
Scanner,4,1006.42,Sud
Ordinateur,3,1228.69,Nord
Imprimante,8,1091.63,Centre
Clavier,6,782.48,Centre
Ordinateur,7,1414.2,Ouest
Scanner,9,1142.66,Est
Imprimante,8,62.36,Est
Imprimante,3,1071.18,Centre
Imprimante,4,839.01,Centre
Ordinateur,1,250.53,Sud
Ordinateur,4,680.93,Sud
Ordinateur,9,810.04,Est
Ordinateur,5,729.26,Est
Clavier,3,679.85,Sud
Téléphone,2,965.22,Sud
Clavier,6,1004.97,Sud
Imprimante,4,1061.41,Centre
Clavier,6,1154.08,Centre
Scanner,3,1258.07,Nord
Ordinateur,3,882.54,Sud
Scanner,1,155.75,Sud
Scanner,9,578.9,Ouest
Imprimante,7,55.5,Centre
Ordinateur,9,913.05,Ouest
Scanner,1,1463.83,Centre
Imprimante,8,1249.27,Sud
Ordinateur,2,755.04,Centre
Téléphone,3,1076.88,Sud
Imprimante,1,1125.72,Est
Clavier,7,912.51,Nord
Ordinateur,5,1334.1,Centre
Scanner,3,516.67,Sud
Scanner,4,1026.41,Nord
Clavier,6,143.74,Est
Clavier,6,250.46,Est
Scanner,2,1410.76,Ouest
Ordinateur,7,837.46,Sud
Imprimante,2,1143.86,Sud
Clavier,9,1310.47,Nord
Clavier,2,1404.5,Ouest
Clavier,5,180.14,Est
Téléphone,8,1067.65,Centre
Ordinateur,8,963.27,Ouest
Ordinateur,4,920.2,Ouest
Ordinateur,7,260.87,Nord
Ordinateur,8,1171.13,Ouest
Ordinateur,8,507.59,Nord
Scanner,5,372.19,Sud
Clavier,2,1075.54,Nord
Scanner,2,362.27,Sud
Téléphone,5,773.16,Sud
Imprimante,4,510.41,Ouest
Clavier,4,1244.04,Sud
Téléphone,3,1433.84,Ouest
Scanner,9,1245.7,Sud
Imprimante,8,625.48,Sud
Téléphone,4,286.05,Sud
Imprimante,7,1062.64,Sud
Téléphone,8,1360.36,Centre
Scanner,6,632.13,Ouest
Imprimante,2,109.12,Est
Téléphone,8,230.31,Sud
Scanner,3,604.86,Centre
Clavier,4,773.95,Est
Scanner,4,471.32,Est
Scanner,7,756.87,Centre
Clavier,8,1440.26,Est
Scanner,9,161.71,Ouest
Clavier,1,1215.09,Est
Clavier,1,710.22,Ouest
Clavier,7,997.85,Est
Téléphone,4,1455.59,Est
Imprimante,8,716.36,Sud
Téléphone,5,189.25,Est
Clavier,1,1250.47,Sud
Imprimante,2,433.83,Ouest
Imprimante,3,1362.56,Est
Clavier,2,168.81,Sud
Imprimante,9,380.58,Centre
Imprimante,7,1453.7,Centre
Téléphone,2,1326.38,Ouest
Imprimante,7,367.3,Est
Clavier,1,1175.87,Est
Ordinateur,5,175.12,Ouest
Ordinateur,5,278.89,Nord
Ordinateur,9,314.3,Nord
Clavier,4,112.62,Centre
Ordinateur,4,752.65,Centre
Téléphone,6,616.44,Sud
Clavier,2,904.91,Nord
Clavier,6,1048.64,Ouest
Clavier,7,913.24,Ouest
Imprimante,4,453.78,Nord
Imprimante,9,169.82,Ouest
Imprimante,5,1111.43,Est
Scanner,3,498.22,Centre
Téléphone,9,408.23,Centre
Clavier,1,1051.23,Nord
Clavier,8,690.72,Sud
Imprimante,1,346.56,Est
Clavier,8,1161.49,Nord
Clavier,5,1219.25,Sud
Ordinateur,7,1478.67,Centre
Clavier,8,728.58,Nord
Scanner,1,103.17,Centre
Imprimante,1,800.02,Centre
Téléphone,7,83.72,Sud
Téléphone,1,1424.0,Nord
Ordinateur,4,303.48,Centre
Téléphone,6,1391.82,Centre
Téléphone,2,1427.53,Nord
Imprimante,5,1174.41,Centre
Imprimante,6,176.6,Sud
Scanner,5,859.63,Centre
Ordinateur,8,563.68,Sud
Téléphone,4,1239.31,Ouest
Scanner,8,488.21,Centre
Ordinateur,3,704.32,Ouest
Téléphone,7,881.85,Nord
Téléphone,5,101.22,Ouest
Imprimante,5,932.88,Centre
Clavier,6,549.18,Est
Ordinateur,5,817.31,Nord
Téléphone,1,231.0,Nord
Ordinateur,9,536.94,Est
Scanner,4,893.61,Est
Scanner,5,878.79,Sud
Clavier,1,279.04,Est
Téléphone,3,651.31,Ouest
Imprimante,3,803.28,Est
Téléphone,8,167.78,Ouest
Ordinateur,8,919.09,Centre
Scanner,9,385.99,Nord
Ordinateur,7,1384.3,Sud
Clavier,6,439.39,Sud
Scanner,8,1191.67,Nord
Imprimante,3,894.13,Nord
Scanner,8,1043.75,Est
Téléphone,3,1357.55,Nord
Téléphone,2,1279.33,Nord
Scanner,9,235.23,Nord
Clavier,1,1403.93,Ouest
Téléphone,2,251.08,Ouest
Téléphone,7,508.76,Centre
Imprimante,1,808.54,Est
Scanner,5,1403.36,Centre
Téléphone,9,959.42,Est
Clavier,9,1318.68,Centre
Ordinateur,4,1415.5,Sud
Scanner,2,1135.3,Sud
Imprimante,9,748.77,Ouest
Téléphone,4,612.62,Sud
Clavier,3,448.99,Ouest
Scanner,3,784.56,Sud
Clavier,7,119.65,Nord
Clavier,2,380.82,Centre
Imprimante,5,569.58,Sud
Scanner,2,1287.4,Est
Téléphone,7,595.35,Centre
Imprimante,7,397.31,Centre
Téléphone,3,1184.9,Centre
Ordinateur,3,1417.58,Nord
Clavier,8,1173.44,Centre
Ordinateur,7,232.37,Ouest
Clavier,4,514.48,Nord
Imprimante,2,924.19,Ouest
Téléphone,3,334.22,Est
Téléphone,3,973.04,Sud
Imprimante,5,392.24,Nord
Scanner,7,836.93,Est
Ordinateur,4,1074.8,Ouest
Ordinateur,1,1190.88,Centre
Téléphone,3,1210.81,Nord
Téléphone,3,1173.4,Sud
Téléphone,1,248.8,Centre
Imprimante,8,1484.52,Sud
Scanner,4,1169.62,Sud
Ordinateur,5,200.99,Ouest
Clavier,3,1061.47,Centre
Imprimante,4,731.5,Ouest
Ordinateur,1,670.55,Nord
Scanner,4,1031.09,Nord
Imprimante,2,293.45,Est
Ordinateur,6,1499.17,Ouest
Imprimante,2,839.5,Ouest
Ordinateur,9,912.22,Centre
Ordinateur,2,666.53,Nord
Scanner,4,928.59,Est
Clavier,4,1012.82,Nord
Scanner,1,550.97,Ouest
Ordinateur,7,720.02,Est
Imprimante,1,420.62,Sud
Scanner,8,1169.33,Nord
Clavier,3,1119.19,Ouest
Ordinateur,8,1225.85,Ouest
Scanner,8,1069.11,Est
Scanner,5,79.15,Ouest
Scanner,3,327.16,Est
Scanner,9,613.49,Est
Imprimante,1,389.57,Centre
Clavier,1,820.96,Nord
Clavier,2,1352.27,Est
Ordinateur,6,1120.18,Ouest
Téléphone,2,436.49,Sud
Imprimante,4,626.48,Centre
Ordinateur,6,125.33,Est
Ordinateur,2,59.05,Nord
Scanner,4,666.44,Centre
Téléphone,7,1105.51,Est
Téléphone,1,1298.17,Sud
Imprimante,9,675.64,Centre
Téléphone,7,311.37,Nord
Ordinateur,9,428.99,Sud
Téléphone,7,695.94,Ouest
Téléphone,1,991.9,Sud
Clavier,7,837.11,Ouest
Ordinateur,9,1268.89,Nord
Téléphone,8,76.86,Est
Téléphone,4,1488.58,Sud
Scanner,5,1397.35,Nord
Téléphone,3,266.97,Sud
Téléphone,2,119.84,Est
Clavier,3,945.6,Centre
Ordinateur,7,1096.04,Sud
Imprimante,8,739.15,Est
Ordinateur,2,453.48,Est
Scanner,9,976.77,Centre
Ordinateur,4,971.96,Sud
Téléphone,2,265.08,Sud
Scanner,7,1209.25,Est
Ordinateur,2,1136.79,Sud
Scanner,7,173.0,Centre
Imprimante,8,720.57,Sud
Ordinateur,9,620.45,Sud
Téléphone,1,720.58,Ouest
Scanner,2,718.88,Est
Clavier,2,809.87,Est
Scanner,7,451.95,Ouest
Clavier,6,730.97,Sud
Téléphone,9,194.27,Sud
Imprimante,3,306.2,Centre
Clavier,8,177.65,Nord
Imprimante,5,319.95,Nord
Scanner,5,56.28,Est
Téléphone,5,104.85,Ouest
Clavier,8,1205.12,Centre
Scanner,7,338.73,Sud
Ordinateur,7,803.99,Ouest
Scanner,4,587.04,Centre
Imprimante,6,527.09,Sud
Téléphone,1,1292.8,Sud
Téléphone,6,755.03,Nord
Scanner,5,799.37,Sud
Ordinateur,1,715.7,Est
Imprimante,1,439.96,Centre
Scanner,3,1040.71,Est
Scanner,4,118.41,Ouest
Téléphone,1,458.14,Ouest
Imprimante,7,1009.2,Sud
Ordinateur,2,98.45,Centre
Téléphone,4,87.28,Sud
Scanner,9,590.51,Est
Téléphone,8,414.21,Nord
